time, x, y, type, size
2015-01-01, 40.3253, -74.6781, N, 1.75
2015-01-01, 40.3257, -74.6807, SSW, 1.77
2015-01-01, 39.9686, -74.8896, SE, 0.96
2015-01-01, 39.9687, -74.8861, SE, 1.07
2015-01-01, 39.9639, -74.8841, SE, 1.4
2015-01-01, 39.9605, -74.8857, SSE, 1.55
2015-01-01, 39.9562, -74.8957, S, 1.66
2015-01-01, 39.6553, -75.6729, S, 1.03
2015-01-01, 39.6487, -75.666, N, 1.31
2015-01-01, 39.6366, -75.6711, N, 0.46
2015-01-01, 39.6278, -75.6914, W, 1.15
2015-01-01, 39.6318, -75.729, NNE, 0.13
2015-01-01, 39.6453, -75.7445, WSW, 0.84
2015-01-01, 39.6462, -75.7384, WSW, 0.52
2015-01-01, 40.0096, -74.059, S, 4.89
2015-01-01, 46.9595, -123.85, SW, 2
2015-01-01, 46.9689, -123.7808, ESE, 2
2015-01-01, 46.9945, -123.82, N, 1
2015-01-01, 46.98, -123.9, N, 0
2015-01-01, 33.3839, -91.3266, NW, 0.47
2015-01-01, 33.4016, -91.2827, W, 1.89
2015-01-01, 33.3913, -91.2112, NW, 1.02
2015-01-01, 33.3305, -91.1989, S, 1.35
2015-01-01, 33.32, -91.28, S, 0.69
2015-01-01, 32.2245, -88.9909, SSE, 6.81
2015-01-01, 32.224, -88.9911, SSE, 6.84
2015-01-01, 33.34, -89.05, S, 0.69
2015-01-01, 33.46, -88.79, SSW, 1.5
2015-01-01, 32.4253, -88.6021, N, 1.75
2015-01-01, 33.51, -88.4, N, 0.69
2015-01-01, 32.4986, -88.4398, ESE, 4.9
2015-01-01, 32.4876, -88.482, SE, 3.15
2015-01-01, 31.7507, -89.5429, E, 1.59
2015-01-01, 31.7505, -89.5416, E, 1.67
2015-01-01, 31.7505, -89.5397, E, 1.78
2015-01-01, 31.7515, -89.5396, E, 1.79
2015-01-01, 31.7512, -89.5429, E, 1.6
2015-01-01, 33.73, -88.29, NNE, 4.15
2015-01-01, 31.9777, -89.2904, NE, 0.77
2015-01-01, 31.9777, -89.2867, NE, 0.94
2015-01-01, 31.9836, -89.2868, NE, 1.21
2015-01-01, 31.983, -89.2903, NNE, 1.06
2015-01-01, 31.4612, -89.7667, SSW, 2.86
2015-01-01, 31.472, -89.7655, SSW, 2.14
2015-01-01, 31.4761, -89.7607, SSW, 1.77
2015-01-01, 31.47, -89.7566, S, 2.11
2015-01-01, 31.46, -89.76, SSW, 2.83
2015-01-01, 31.5039, -89.7318, ENE, 1.1
2015-01-01, 31.5043, -89.7275, ENE, 1.36
2015-01-01, 31.4999, -89.7282, E, 1.29
2015-01-01, 31.4995, -89.7325, E, 1.03
2015-01-01, 31.4328, -89.7471, NNE, 10.14
2015-01-01, 31.4316, -89.7435, NNE, 10.15
2015-01-01, 31.4282, -89.7414, NNE, 10
2015-01-01, 31.4268, -89.7446, NNE, 9.82
2015-01-01, 31.43, -89.75, NNE, 9.89
2015-01-01, 32.1455, -88.9988, SSE, 0.32
2015-01-01, 32.1478, -88.9892, ESE, 0.65
2015-01-01, 32.1446, -88.9863, ESE, 0.89
2015-01-01, 32.1388, -88.9865, SE, 1.1
2015-01-01, 32.14, -89, S, 0.69
2015-01-01, 31.5548, -89.6718, ESE, 3.85
2015-01-01, 31.5526, -89.6624, ESE, 4.41
2015-01-01, 31.5462, -89.6644, ESE, 4.51
2015-01-01, 31.5437, -89.6766, SE, 4.02
2015-01-01, 31.55, -89.68, SE, 3.6
2015-01-01, 32.4195, -88.508, E, 0.7
2015-01-01, 32.4181, -88.5102, ESE, 0.58
2015-01-01, 32.4179, -88.5077, E, 0.73
2015-01-01, 32.4177, -88.5038, E, 0.96
2015-01-01, 32.4195, -88.5036, E, 0.96
2015-01-01, 32.509, -88.7, ENE, 1.85
2015-01-01, 32.47, -88.74, W, 0.58
2015-01-01, 33.34, -89.11, ENE, 1.35
2015-01-01, 32.3834, -88.8275, WSW, 3
2015-01-01, 32.3, -88.91, SW, 2.23
2015-01-01, 32.3, -88.91, SE, 1.81
2015-01-01, 32.27, -88.93, S, 3.45
2015-01-01, 32.28, -89.95, W, 1.75
2015-01-01, 31.83, -89.43, N, 0
2015-01-01, 32.224, -88.9911, E, 4.62
2015-01-01, 32.1304, -89.0711, WNW, 0.07
2015-01-01, 31.75, -89.6, W, 1.76
2015-01-01, 31.7064, -89.6341, S, 1.65
2015-01-01, 31.7, -89.65, SSW, 2.38
2015-01-01, 31.6972, -89.6553, SSW, 2.71
2015-01-01, 31.68, -89.68, SW, 4.54
2015-01-01, 31.65, -89.79, E, 0.59
2015-01-01, 31.6, -89.87, E, 0.59
2015-01-01, 31.43, -89.96, E, 3.6
2015-01-01, 31.2019, -90.2457, NW, 8
2015-01-01, 31.15, -90.47, N, 0
2015-01-01, 30.25, -89.62, N, 0
2015-01-01, 32.24, -92.15, WSW, 1.36
2015-01-01, 32.08, -92.49, E, 0.59
2015-01-01, 31.82, -92.72, NE, 2.24
2015-01-01, 31.76, -93.1, WSW, 1.36
2015-01-01, 31.9, -93.11, E, 0.59
2015-01-01, 31.69, -93.34, SW, 0.91
2015-01-01, 31.57, -93.47, E, 0.59
2015-01-01, 32.62, -93.28, N, 0
2015-01-01, 32.52, -93.66, E, 0.58
2015-01-01, 32.52, -93.66, E, 0.58
2015-01-01, 32.48, -93.75, N, 0
2015-01-01, 32.03, -93.7, E, 1.17
2015-01-01, 32.47, -93.8, S, 0.69
2015-01-01, 32.42, -93.86, W, 0.58
2015-01-01, 34.024, -94.3554, WSW, 1.51
2015-01-01, 34.0245, -94.3187, ESE, 0.75
2015-01-01, 34.0553, -94.3118, SSE, 1.77
2015-01-01, 34.0513, -94.3527, NW, 1.96
2015-01-01, 33.9397, -94.4725, S, 0.73
2015-01-01, 33.9765, -94.4714, N, 1.83
2015-01-01, 33.9673, -94.3739, NNW, 2.92
2015-01-01, 33.9351, -94.3715, NNE, 1.15
2015-01-01, 31.19, -93.97, SE, 2.73
2015-01-01, 33.6304, -94.948, SW, 1.71
2015-01-01, 33.665, -94.9511, NW, 1.59
2015-01-01, 33.6431, -94.8443, ENE, 1.73
2015-01-01, 33.6176, -94.8426, ESE, 1.79
2015-01-01, 35.66, -78.31, ENE, 2.35
2015-01-01, 35.46, -78.61, SE, 0.89
2015-01-01, 35.46, -79.16, SE, 0.89
2015-01-01, 34.6084, -80.7907, SW, 1.43
2015-01-01, 34.5937, -80.5586, WNW, 1.88
2015-01-01, 34.8025, -80.527, NNE, 2.6
2015-01-01, 34.72, -80.77, N, 0
2015-01-01, 31.13, -93.99, WNW, 1.37
2015-01-01, 31.42, -83.392, N, 0.7
2015-01-01, 31.417, -83.395, NNW, 0.57
2015-01-01, 31.356, -83.62, WNW, 2.09
2015-01-01, 31.354, -83.625, WNW, 2.28
2015-01-01, 31.42, -83.37, ENE, 1.37
2015-01-01, 31.183, -83.7931, NW, 1.19
2015-01-01, 31.25, -83.95, ESE, 1.37
2015-01-01, 31.17, -84.19, SE, 3.64
2015-01-01, 31.62, -84.88, NNE, 2.15
2015-01-01, 31.64, -84.97, N, 0
2015-01-01, 31.3879, -85.2801, WSW, 1.96
2015-01-01, 31.21, -85.62, N, 0.69
2015-01-01, 31.31, -85.55, W, 0.59
2015-01-01, 40.4129, -74.3073, NNW, 0.97
2015-01-01, 39.6366, -75.6711, N, 0.46
2015-01-01, 31.3205, -85.5041, NW, 1.1
2015-01-01, 31.3126, -85.5377, NE, 0.23
2015-01-01, 31.304, -85.561, WSW, 1.31
2015-01-01, 31.5244, -85.0769, NNW, 1.73
2015-01-01, 31.522, -85.086, NNW, 1.79
2015-01-01, 33.3113, -81.3369, NW, 1.25
2015-01-01, 34.4133, -80.3478, SSE, 0.48
